Area_Code;Cogs;Difference_Between_Actual_And_Target_Profit;Date;Inventory_Margin;Margin;Market_size;Market;Marketing;Product_line;Product_type;Product;Profit;Sales;State;Target_cogs;Target_margin;Target_profit;Target_sales;Total_expenses;Type;Profit_status;Duplicate_check;Countblank;Derived_gap;Sales_status;Profit_status_vs_Target;Sum_of_sales;Sum_of_profits
801;49;-27;10/1/2030;310;71;Small Market;West;15;Leaves;Herbal Tea;Chamomile;33;120;Utah;30;60;60;90;38;Decaf;Profit;;;-27;Met;Missed;202895;64311
425;48;-13;10/1/2031;829;71;Small Market;West;13;Leaves;Herbal Tea;Lemon;47;119;Washington;30;60;60;90;24;Decaf;Profit;;;-13;Met;Missed;202895;64311
860;40;-14;10/1/2032;881;59;Small Market;East;11;Leaves;Tea;Darjeeling;36;99;Connecticut;40;60;50;100;23;Regular;Profit;;;-14;Met;Missed;202895;64311
971;82;14;10/1/2033;788;123;Small Market;West;27;Leaves;Tea;Earl Grey;64;205;Oregon;30;60;50;90;59;Regular;Profit;;;14;Met;Met;202895;64311
971;91;26;10/1/2034;656;127;Small Market;West;28;Leaves;Tea;Green Tea;76;218;Oregon;40;60;50;100;51;Regular;Profit;;;26;Met;Met;202895;64311
915;40;-14;10/1/2035;536;52;Major Market;South;13;Beans;Coffee;Decaf Irish Cream;26;92;Texas;40;60;40;100;26;Decaf;Profit;;;-14;Met;Missed;202895;64311
210;50;8;10/1/2036;589;73;Major Market;South;14;Beans;Espresso;Decaf Espresso;48;123;Texas;30;60;40;90;25;Decaf;Profit;;;8;Met;Met;202895;64311
970;40;-13;10/1/2037;536;52;Major Market;Central;13;Beans;Coffee;Colombian;27;92;Colorado;30;60;40;90;25;Regular;Profit;;;-13;Met;Missed;202895;64311
774;52;-8;10/1/2038;554;68;Major Market;East;47;Beans;Espresso;Caffe Mocha;-8;120;Massachusetts;50;60;0;110;76;Regular;Loss;;;-8;Met;Missed;202895;64311
954;75;14;10/1/2039;1063;89;Major Market;East;23;Leaves;Herbal Tea;Mint;44;164;Florida;50;60;30;110;45;Decaf;Profit;;;14;Met;Met;202895;64311
936;46;1;10/1/2040;424;68;Major Market;South;14;Leaves;Herbal Tea;Lemon;31;114;Texas;40;60;30;100;37;Decaf;Profit;;;1;Met;Met;202895;64311
719;55;-5;10/1/2041;410;69;Major Market;Central;20;Leaves;Tea;Darjeeling;15;124;Colorado;40;60;20;100;54;Regular;Profit;;;-5;Met;Missed;202895;64311
847;50;8;10/1/2042;589;73;Major Market;Central;14;Leaves;Tea;Darjeeling;48;123;Illinois;40;60;40;100;25;Regular;Profit;;;8;Met;Met;202895;64311
719;57;-1;10/1/2043;1042;68;Major Market;Central;17;Leaves;Tea;Earl Grey;29;125;Colorado;40;60;30;100;39;Regular;Profit;;;-1;Met;Missed;202895;64311
339;36;-9;10/1/2044;862;52;Major Market;East;10;Leaves;Tea;Darjeeling;31;88;Massachusetts;30;60;40;90;21;Regular;Profit;;;-9;Met;Missed;202895;64311
314;33;-23;10/1/2045;836;48;Small Market;Central;9;Beans;Espresso;Decaf Espresso;27;81;Missouri;40;60;50;100;21;Decaf;Profit;;;-23;Met;Missed;202895;64311
504;31;-22;10/1/2046;856;47;Small Market;South;8;Beans;Coffee;Decaf Irish Cream;28;78;Louisiana;30;60;50;90;19;Decaf;Profit;;;-22;Met;Missed;202895;64311
580;36;-10;10/1/2047;862;52;Small Market;South;10;Beans;Coffee;Decaf Irish Cream;30;88;Oklahoma;40;60;40;100;22;Decaf;Profit;;;-10;Met;Missed;202895;64311
225;49;4;10/1/2048;454;71;Small Market;South;15;Beans;Espresso;Decaf Espresso;34;120;Louisiana;30;60;30;90;37;Decaf;Profit;;;4;Met;Met;202895;64311
262;54;-6;10/1/2049;391;67;Small Market;Central;20;Beans;Coffee;Amaretto;14;121;Wisconsin;50;60;20;110;53;Regular;Profit;;;-6;Met;Missed;202895;64311
603;46;-10;10/1/2050;316;67;Small Market;East;14;Beans;Coffee;Amaretto;30;113;New Hampshire;40;60;40;100;37;Regular;Profit;;;-10;Met;Missed;202895;64311
603;43;-10;10/1/2051;452;66;Small Market;East;14;Beans;Coffee;Colombian;20;109;New Hampshire;30;60;30;90;46;Regular;Profit;;;-10;Met;Missed;202895;64311
603;44;-18;10/1/2052;325;62;Small Market;East;40;Beans;Espresso;Caffe Mocha;-8;106;New Hampshire;40;60;10;100;70;Regular;Loss;;;-18;Met;Missed;202895;64311
225;53;19;10/1/2053;321;88;Small Market;South;16;Beans;Espresso;Caffe Mocha;49;141;Louisiana;40;60;30;100;39;Regular;Profit;;;19;Met;Met;202895;64311
425;54;-7;10/1/2054;391;67;Small Market;West;20;Beans;Espresso;Caffe Mocha;13;121;Washington;50;60;20;110;54;Regular;Profit;;;-7;Met;Missed;202895;64311
918;54;-7;10/1/2055;391;67;Small Market;South;20;Leaves;Herbal Tea;Chamomile;13;121;Oklahoma;50;60;20;110;54;Decaf;Profit;;;-7;Met;Missed;202895;64311
801;46;0;10/1/2056;316;67;Small Market;West;14;Leaves;Herbal Tea;Chamomile;30;113;Utah;40;60;30;100;37;Decaf;Profit;;;0;Met;Met;202895;64311
435;43;-10;10/1/2057;452;66;Small Market;West;14;Leaves;Herbal Tea;Lemon;20;109;Utah;40;60;30;100;46;Decaf;Profit;;;-10;Met;Missed;202895;64311
509;47;4;10/1/2058;834;68;Small Market;West;13;Leaves;Herbal Tea;Lemon;44;115;Washington;40;60;40;100;24;Decaf;Profit;;;4;Met;Met;202895;64311
203;36;-7;10/1/2059;809;54;Small Market;East;10;Leaves;Tea;Green Tea;33;90;Connecticut;30;60;40;90;21;Regular;Profit;;;-7;Met;Missed;202895;64311
206;61;1;10/1/2060;613;86;Small Market;West;55;Leaves;Tea;Green Tea;1;147;Washington;40;60;0;100;85;Regular;Profit;;;1;Met;Met;202895;64311
682;43;-10;10/1/2061;531;56;Major Market;South;14;Beans;Coffee;Decaf Irish Cream;30;99;Texas;50;60;40;110;26;Decaf;Profit;;;-10;Met;Missed;202895;64311
214;54;12;10/1/2062;601;79;Major Market;South;15;Beans;Espresso;Decaf Espresso;52;133;Texas;40;60;40;100;27;Decaf;Profit;;;12;Met;Met;202895;64311
970;47;-6;10/1/2063;521;65;Major Market;Central;42;Leaves;Herbal Tea;Lemon;-6;112;Colorado;40;60;0;100;71;Decaf;Loss;;;-6;Met;Missed;202895;64311
303;54;-1;10/1/2064;424;73;Major Market;Central;17;Leaves;Herbal Tea;Mint;29;127;Colorado;50;60;30;110;44;Decaf;Profit;;;-1;Met;Missed;202895;64311
954;65;3;10/1/2065;403;80;Major Market;East;24;Leaves;Herbal Tea;Lemon;23;145;Florida;40;60;20;100;57;Decaf;Profit;;;3;Met;Met;202895;64311
561;80;20;10/1/2066;1079;96;Major Market;East;24;Leaves;Herbal Tea;Mint;50;176;Florida;60;60;30;120;46;Decaf;Profit;;;20;Met;Met;202895;64311
469;54;-2;10/1/2067;424;73;Major Market;South;17;Leaves;Herbal Tea;Chamomile;28;127;Texas;50;60;30;110;45;Decaf;Profit;;;-2;Met;Missed;202895;64311
214;41;-6;10/1/2068;435;60;Major Market;South;13;Leaves;Herbal Tea;Lemon;24;101;Texas;30;60;30;90;36;Decaf;Profit;;;-6;Met;Missed;202895;64311
619;54;3;10/1/2069;601;79;Major Market;West;15;Leaves;Tea;Earl Grey;53;133;California;30;60;50;90;26;Regular;Profit;;;3;Met;Met;202895;64311
314;31;-23;10/1/2070;844;46;Small Market;Central;8;Beans;Espresso;Decaf Espresso;27;77;Missouri;30;60;50;90;19;Decaf;Profit;;;-23;Met;Missed;202895;64311
225;34;-19;10/1/2071;863;51;Small Market;South;9;Beans;Coffee;Decaf Irish Cream;31;85;Louisiana;40;60;50;100;20;Decaf;Profit;;;-19;Met;Missed;202895;64311
580;33;-22;10/1/2072;870;49;Small Market;South;9;Beans;Coffee;Decaf Irish Cream;28;82;Oklahoma;30;60;50;90;21;Decaf;Profit;;;-22;Met;Missed;202895;64311
603;48;-2;10/1/2073;462;74;Small Market;East;15;Beans;Coffee;Colombian;28;122;New Hampshire;40;60;30;100;46;Regular;Profit;;;-2;Met;Missed;202895;64311
985;55;-3;10/1/2074;-1053;76;Small Market;South;49;Beans;Espresso;Caffe Latte;-3;131;Louisiana;40;60;0;100;79;Regular;Loss;;;-3;Met;Missed;202895;64311
505;49;-15;10/1/2075;335;69;Small Market;South;44;Beans;Espresso;Caffe Mocha;-5;118;New Mexico;30;60;10;90;74;Regular;Loss;;;-15;Met;Missed;202895;64311
775;39;-19;10/1/2076;250;49;Small Market;West;14;Beans;Coffee;Colombian;1;88;Nevada;40;60;20;100;48;Regular;Profit;;;-19;Met;Missed;202895;64311
417;49;-5;10/1/2077;335;69;Small Market;Central;44;Leaves;Herbal Tea;Chamomile;-5;118;Missouri;40;60;0;100;74;Decaf;Loss;;;-5;Met;Missed;202895;64311
920;41;0;10/1/2078;320;66;Small Market;Central;12;Leaves;Herbal Tea;Chamomile;30;107;Wisconsin;30;60;30;90;36;Decaf;Profit;;;0;Met;Met;202895;64311
573;92;-4;10/1/2079;1898;68;Small Market;Central;28;Leaves;Herbal Tea;Lemon;16;160;Missouri;80;60;20;140;52;Decaf;Profit;;;-4;Met;Missed;202895;64311
475;68;7;10/1/2080;619;85;Small Market;East;25;Leaves;Herbal Tea;Lemon;27;153;Connecticut;50;60;20;110;58;Decaf;Profit;;;7;Met;Met;202895;64311
475;63;-4;10/1/2081;1075;76;Small Market;East;19;Leaves;Herbal Tea;Mint;36;139;Connecticut;40;60;40;100;40;Decaf;Profit;;;-4;Met;Missed;202895;64311
435;92;-3;10/1/2082;1898;68;Small Market;West;28;Leaves;Herbal Tea;Mint;17;160;Utah;80;60;20;140;51;Decaf;Profit;;;-3;Met;Missed;202895;64311
920;55;-3;10/1/2083;627;76;Small Market;Central;49;Leaves;Tea;Earl Grey;-3;131;Wisconsin;40;60;0;100;79;Regular;Loss;;;-3;Met;Missed;202895;64311
720;51;-37;10/1/2084;503;71;Major Market;Central;46;Leaves;Herbal Tea;Lemon;-7;130;Colorado;30;60;30;90;76;Decaf;Loss;;;-37;Met;Missed;202895;64311
970;52;-11;10/1/2085;405;71;Major Market;Central;17;Leaves;Herbal Tea;Mint;39;131;Colorado;30;60;50;90;45;Decaf;Profit;;;-11;Met;Missed;202895;64311
430;43;-8;10/1/2086;419;64;Major Market;South;13;Leaves;Herbal Tea;Lemon;42;114;Texas;30;60;50;90;36;Decaf;Profit;;;-8;Met;Missed;202895;64311
561;38;2;10/1/2087;871;56;Major Market;East;10;Leaves;Tea;Darjeeling;52;100;Florida;40;60;50;100;21;Regular;Profit;;;2;Met;Met;202895;64311
510;72;33;10/1/2088;650;110;Major Market;West;23;Leaves;Tea;Green Tea;83;194;California;20;60;50;80;54;Regular;Profit;;;33;Met;Met;202895;64311
563;0;-14;10/1/2089;430;43;Small Market;Central;0;Beans;Espresso;Decaf Espresso;46;46;Iowa;0;60;60;60;12;Decaf;Profit;;;-14;Missed;Missed;202895;64311
203;47;-19;10/1/2090;375;64;Small Market;East;15;Beans;Espresso;Decaf Espresso;31;118;Connecticut;30;60;50;90;43;Decaf;Profit;;;-19;Met;Missed;202895;64311
405;27;-29;10/1/2091;859;39;Small Market;South;7;Beans;Coffee;Decaf Irish Cream;31;70;Oklahoma;30;60;60;90;18;Decaf;Profit;;;-29;Met;Missed;202895;64311
775;31;-40;10/1/2092;1000;37;Small Market;West;9;Beans;Coffee;Decaf Irish Cream;10;72;Nevada;30;60;50;90;30;Decaf;Profit;;;-40;Met;Missed;202895;64311
435;40;-5;10/1/2093;881;59;Small Market;West;11;Beans;Espresso;Decaf Espresso;55;106;Utah;20;60;60;80;22;Decaf;Profit;;;-5;Met;Missed;202895;64311
603;49;-11;10/1/2094;310;71;Small Market;East;15;Beans;Coffee;Amaretto;49;128;New Hampshire;30;60;60;90;38;Regular;Profit;;;-11;Met;Missed;202895;64311
603;45;-14;10/1/2095;447;69;Small Market;East;14;Beans;Coffee;Colombian;36;121;New Hampshire;30;60;50;90;45;Regular;Profit;;;-14;Met;Missed;202895;64311
603;45;-40;10/1/2096;320;64;Small Market;East;41;Beans;Espresso;Caffe Mocha;-10;116;New Hampshire;30;60;30;90;71;Regular;Loss;;;-40;Met;Missed;202895;64311
504;60;-9;10/1/2097;-762;84;Small Market;South;54;Beans;Espresso;Caffe Latte;1;153;Louisiana;30;60;10;90;83;Regular;Profit;;;-9;Met;Missed;202895;64311
702;34;-33;10/1/2098;240;43;Small Market;West;12;Beans;Coffee;Colombian;-3;82;Nevada;40;60;30;100;45;Regular;Loss;;;-33;Met;Missed;202895;64311
971;54;-22;10/1/2099;404;66;Small Market;West;20;Beans;Espresso;Caffe Latte;18;128;Oregon;40;60;40;100;54;Regular;Profit;;;-22;Met;Missed;202895;64311
573;45;-39;10/1/2100;320;64;Small Market;Central;41;Leaves;Herbal Tea;Chamomile;-9;116;Missouri;20;60;30;80;70;Decaf;Loss;;;-39;Met;Missed;202895;64311
262;48;7;10/1/2101;851;70;Small Market;Central;13;Leaves;Herbal Tea;Lemon;67;126;Wisconsin;30;60;60;90;25;Decaf;Profit;;;7;Met;Met;202895;64311
801;49;-11;10/1/2102;310;71;Small Market;West;15;Leaves;Herbal Tea;Chamomile;49;128;Utah;30;60;60;90;38;Decaf;Profit;;;-11;Met;Missed;202895;64311
509;48;10;10/1/2103;829;71;Small Market;West;13;Leaves;Herbal Tea;Lemon;70;127;Washington;30;60;60;90;24;Decaf;Profit;;;10;Met;Met;202895;64311
475;40;3;10/1/2104;881;59;Small Market;East;11;Leaves;Tea;Darjeeling;53;106;Connecticut;40;60;50;100;23;Regular;Profit;;;3;Met;Met;202895;64311
503;82;45;10/1/2105;788;123;Small Market;West;27;Leaves;Tea;Earl Grey;95;218;Oregon;30;60;50;90;59;Regular;Profit;;;45;Met;Met;202895;64311
541;91;63;10/1/2106;656;127;Small Market;West;28;Leaves;Tea;Green Tea;113;232;Oregon;40;60;50;100;51;Regular;Profit;;;63;Met;Met;202895;64311
936;40;-1;10/1/2107;536;52;Major Market;South;13;Beans;Coffee;Decaf Irish Cream;39;98;Texas;40;60;40;100;26;Decaf;Profit;;;-1;Met;Missed;202895;64311
254;50;31;10/1/2108;589;73;Major Market;South;14;Beans;Espresso;Decaf Espresso;71;131;Texas;30;60;40;90;25;Decaf;Profit;;;31;Met;Met;202895;64311
719;40;0;10/1/2109;536;52;Major Market;Central;13;Beans;Coffee;Colombian;40;98;Colorado;30;60;40;90;25;Regular;Profit;;;0;Met;Met;202895;64311
339;52;-12;10/1/2110;554;68;Major Market;East;47;Beans;Espresso;Caffe Mocha;-12;128;Massachusetts;50;60;0;110;76;Regular;Loss;;;-12;Met;Missed;202895;64311
561;75;35;10/1/2111;1063;89;Major Market;East;23;Leaves;Herbal Tea;Mint;65;175;Florida;50;60;30;110;45;Decaf;Profit;;;35;Met;Met;202895;64311
806;46;16;10/1/2112;424;68;Major Market;South;14;Leaves;Herbal Tea;Lemon;46;121;Texas;40;60;30;100;37;Decaf;Profit;;;16;Met;Met;202895;64311
719;55;2;10/1/2113;410;69;Major Market;Central;20;Leaves;Tea;Darjeeling;22;132;Colorado;40;60;20;100;54;Regular;Profit;;;2;Met;Met;202895;64311
708;50;31;10/1/2114;589;73;Major Market;Central;14;Leaves;Tea;Darjeeling;71;131;Illinois;40;60;40;100;25;Regular;Profit;;;31;Met;Met;202895;64311
719;57;13;10/1/2115;1042;68;Major Market;Central;17;Leaves;Tea;Earl Grey;43;133;Colorado;40;60;30;100;39;Regular;Profit;;;13;Met;Met;202895;64311
351;36;6;10/1/2116;862;52;Major Market;East;10;Leaves;Tea;Darjeeling;46;94;Massachusetts;30;60;40;90;21;Regular;Profit;;;6;Met;Met;202895;64311
636;33;-10;10/1/2117;836;48;Small Market;Central;9;Beans;Espresso;Decaf Espresso;40;86;Missouri;40;60;50;100;21;Decaf;Profit;;;-10;Met;Missed;202895;64311
504;31;-8;10/1/2118;856;47;Small Market;South;8;Beans;Coffee;Decaf Irish Cream;42;83;Louisiana;30;60;50;90;19;Decaf;Profit;;;-8;Met;Missed;202895;64311
580;36;5;10/1/2119;862;52;Small Market;South;10;Beans;Coffee;Decaf Irish Cream;45;94;Oklahoma;40;60;40;100;22;Decaf;Profit;;;5;Met;Met;202895;64311
337;49;20;10/1/2120;454;71;Small Market;South;15;Beans;Espresso;Decaf Espresso;50;128;Louisiana;30;60;30;90;37;Decaf;Profit;;;20;Met;Met;202895;64311
262;54;1;10/1/2121;391;67;Small Market;Central;20;Beans;Coffee;Amaretto;21;129;Wisconsin;50;60;20;110;53;Regular;Profit;;;1;Met;Met;202895;64311
603;46;5;10/1/2122;316;67;Small Market;East;14;Beans;Coffee;Amaretto;45;120;New Hampshire;40;60;40;100;37;Regular;Profit;;;5;Met;Met;202895;64311
603;43;0;10/1/2123;452;66;Small Market;East;14;Beans;Coffee;Colombian;30;116;New Hampshire;30;60;30;90;46;Regular;Profit;;;0;Met;Met;202895;64311
603;44;-22;10/1/2124;325;62;Small Market;East;40;Beans;Espresso;Caffe Mocha;-12;113;New Hampshire;40;60;10;100;70;Regular;Loss;;;-22;Met;Missed;202895;64311
318;53;43;10/1/2125;321;88;Small Market;South;16;Beans;Espresso;Caffe Mocha;73;150;Louisiana;40;60;30;100;39;Regular;Profit;;;43;Met;Met;202895;64311
206;54;-1;10/1/2126;391;67;Small Market;West;20;Beans;Espresso;Caffe Mocha;19;129;Washington;50;60;20;110;54;Regular;Profit;;;-1;Met;Missed;202895;64311
580;54;-1;10/1/2127;391;67;Small Market;South;20;Leaves;Herbal Tea;Chamomile;19;129;Oklahoma;50;60;20;110;54;Decaf;Profit;;;-1;Met;Missed;202895;64311
435;46;15;10/1/2128;316;67;Small Market;West;14;Leaves;Herbal Tea;Chamomile;45;120;Utah;40;60;30;100;37;Decaf;Profit;;;15;Met;Met;202895;64311
435;43;0;10/1/2129;452;66;Small Market;West;14;Leaves;Herbal Tea;Lemon;30;116;Utah;40;60;30;100;46;Decaf;Profit;;;0;Met;Met;202895;64311
253;47;25;10/1/2130;834;68;Small Market;West;13;Leaves;Herbal Tea;Lemon;65;123;Washington;40;60;40;100;24;Decaf;Profit;;;25;Met;Met;202895;64311
203;36;9;10/1/2131;809;54;Small Market;East;10;Leaves;Tea;Green Tea;49;96;Connecticut;30;60;40;90;21;Regular;Profit;;;9;Met;Met;202895;64311
509;61;1;10/1/2132;613;86;Small Market;West;55;Leaves;Tea;Green Tea;1;157;Washington;40;60;0;100;85;Regular;Profit;;;1;Met;Met;202895;64311
956;43;5;10/1/2133;531;56;Major Market;South;14;Beans;Coffee;Decaf Irish Cream;45;106;Texas;50;60;40;110;26;Decaf;Profit;;;5;Met;Met;202895;64311
430;54;37;10/1/2134;601;79;Major Market;South;15;Beans;Espresso;Decaf Espresso;77;142;Texas;40;60;40;100;27;Decaf;Profit;;;37;Met;Met;202895;64311
719;47;-9;10/1/2135;521;65;Major Market;Central;42;Leaves;Herbal Tea;Lemon;-9;119;Colorado;40;60;0;100;71;Decaf;Loss;;;-9;Met;Missed;202895;64311
970;54;13;10/1/2136;424;73;Major Market;Central;17;Leaves;Herbal Tea;Mint;43;135;Colorado;50;60;30;110;44;Decaf;Profit;;;13;Met;Met;202895;64311
305;65;14;10/1/2137;403;80;Major Market;East;24;Leaves;Herbal Tea;Lemon;34;155;Florida;40;60;20;100;57;Decaf;Profit;;;14;Met;Met;202895;64311
407;80;44;10/1/2138;1079;96;Major Market;East;24;Leaves;Herbal Tea;Mint;74;188;Florida;60;60;30;120;46;Decaf;Profit;;;44;Met;Met;202895;64311
325;54;12;10/1/2139;424;73;Major Market;South;17;Leaves;Herbal Tea;Chamomile;42;135;Texas;50;60;30;110;45;Decaf;Profit;;;12;Met;Met;202895;64311
430;41;6;10/1/2140;435;60;Major Market;South;13;Leaves;Herbal Tea;Lemon;36;108;Texas;30;60;30;90;36;Decaf;Profit;;;6;Met;Met;202895;64311
408;54;29;10/1/2141;601;79;Major Market;West;15;Leaves;Tea;Earl Grey;79;142;California;30;60;50;90;26;Regular;Profit;;;29;Met;Met;202895;64311
816;31;-10;10/1/2142;844;46;Small Market;Central;8;Beans;Espresso;Decaf Espresso;40;82;Missouri;30;60;50;90;19;Decaf;Profit;;;-10;Met;Missed;202895;64311
337;34;-4;10/1/2143;863;51;Small Market;South;9;Beans;Coffee;Decaf Irish Cream;46;91;Louisiana;40;60;50;100;20;Decaf;Profit;;;-4;Met;Missed;202895;64311
918;33;-8;10/1/2144;870;49;Small Market;South;9;Beans;Coffee;Decaf Irish Cream;42;87;Oklahoma;30;60;50;90;21;Decaf;Profit;;;-8;Met;Missed;202895;64311
603;48;12;10/1/2145;462;74;Small Market;East;15;Beans;Coffee;Colombian;42;130;New Hampshire;40;60;30;100;46;Regular;Profit;;;12;Met;Met;202895;64311
225;55;-4;10/1/2146;-1053;76;Small Market;South;49;Beans;Espresso;Caffe Latte;-4;140;Louisiana;40;60;0;100;79;Regular;Loss;;;-4;Met;Missed;202895;64311
505;49;-17;10/1/2147;335;69;Small Market;South;44;Beans;Espresso;Caffe Mocha;-7;126;New Mexico;30;60;10;90;74;Regular;Loss;;;-17;Met;Missed;202895;64311
702;39;-19;10/1/2148;250;49;Small Market;West;14;Beans;Coffee;Colombian;1;94;Nevada;40;60;20;100;48;Regular;Profit;;;-19;Met;Missed;202895;64311
314;49;-7;10/1/2149;335;69;Small Market;Central;44;Leaves;Herbal Tea;Chamomile;-7;126;Missouri;40;60;0;100;74;Decaf;Loss;;;-7;Met;Missed;202895;64311
920;41;15;10/1/2150;320;66;Small Market;Central;12;Leaves;Herbal Tea;Chamomile;45;114;Wisconsin;30;60;30;90;36;Decaf;Profit;;;15;Met;Met;202895;64311
417;92;4;10/1/2151;1898;68;Small Market;Central;28;Leaves;Herbal Tea;Lemon;24;171;Missouri;80;60;20;140;52;Decaf;Profit;;;4;Met;Met;202895;64311
860;68;20;10/1/2152;619;85;Small Market;East;25;Leaves;Herbal Tea;Lemon;40;163;Connecticut;50;60;20;110;58;Decaf;Profit;;;20;Met;Met;202895;64311
203;63;13;10/1/2153;1075;76;Small Market;East;19;Leaves;Herbal Tea;Mint;53;148;Connecticut;40;60;40;100;40;Decaf;Profit;;;13;Met;Met;202895;64311
435;92;5;10/1/2154;1898;68;Small Market;West;28;Leaves;Herbal Tea;Mint;25;171;Utah;80;60;20;140;51;Decaf;Profit;;;5;Met;Met;202895;64311
262;55;-4;10/1/2155;627;76;Small Market;Central;49;Leaves;Tea;Earl Grey;-4;140;Wisconsin;40;60;0;100;79;Regular;Loss;;;-4;Met;Missed;202895;64311
719;39;-23;10/1/2156;541;51;Major Market;Central;12;Beans;Coffee;Colombian;27;90;Colorado;30;50;50;80;24;Regular;Profit;;;-23;Met;Missed;202895;64311
305;80;8;10/1/2157;1055;94;Major Market;East;24;Leaves;Herbal Tea;Mint;48;174;Florida;40;50;40;90;46;Decaf;Profit;;;8;Met;Met;202895;64311
303;54;-17;10/1/2158;404;66;Major Market;Central;20;Leaves;Tea;Darjeeling;13;120;Colorado;30;50;30;80;53;Regular;Profit;;;-17;Met;Missed;202895;64311
303;54;-13;10/1/2159;1037;64;Major Market;Central;16;Leaves;Tea;Earl Grey;27;118;Colorado;30;50;40;80;37;Regular;Profit;;;-13;Met;Missed;202895;64311
508;27;-30;10/1/2160;859;39;Major Market;East;7;Leaves;Tea;Darjeeling;20;66;Massachusetts;20;50;50;70;19;Regular;Profit;;;-30;Met;Missed;202895;64311
209;76;29;10/1/2161;580;111;Major Market;West;21;Leaves;Tea;Earl Grey;79;187;California;30;50;50;80;32;Regular;Profit;;;29;Met;Met;202895;64311
715;22;-40;10/1/2162;573;29;Small Market;Central;7;Beans;Espresso;Decaf Espresso;10;51;Wisconsin;20;50;50;70;19;Decaf;Profit;;;-40;Met;Missed;202895;64311
319;23;-32;10/1/2163;800;35;Small Market;Central;6;Beans;Espresso;Caffe Mocha;18;58;Iowa;20;50;50;70;17;Regular;Profit;;;-32;Met;Missed;202895;64311
